,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
6553,WU JIA PI,"Slenderstyle Acanthopanax Root-bark Equivalent plant:  Acanthopanax sessiliflorus ,  Acanthopanax senticosus",Acanthopanax gracilistylus,"Warm,Pungent,Bitter","Liver,Kidney",root cortex,"To dispel wind-damp, supplement liver and kidney, strengthen sinews and bones, quicken blood and vessels.","Wind-cold-damp impediment, pain in lumbus and knees, limp wilting sinew and bone, infant retardation of walking, vacuity and marked emaciation, knocks and falls, fracture, edema, beriberi,   damp itchy in genitals."
6554,YI ZHI REN,Sharpleaf Galangal,Alpinia oxyphylla,"Warm,Pungent","Spleen,Kidney",fruit,"To warm spleen, check diarrhea, warm kidney, reduce urine, secure essence.","Spleen-stomach vacuity cold, vomiting and diarrhea, cold pain in abdomen, drooling, enuresis due to kidney vacuity, frequent urination, emission, white turbidity."
6558,MAI YA,Barley Germinating Fruit,Hordeum vulgare,"Mild,Sweet","Spleen,Stomach,Liver",germinated fruit,"To disperse food and transform accumulation, terminate lactation.","Food accumulation, abdominal distention and diarrhea, nausea and vomiting, inappetence, galactostasis, distending pain in breast."
6561,GAN SONG,Chinese Nardostachys Equivalent plant: Nardostachys jatamansi,Nardostachys chinensis,"Warm,Pungent,Sweet","Spleen,Stomach",root and rhizome,"To rectify qi  and relieve pain, harmonize stomach and arouse spleen.","Stomachache, distention fullness in chest and abdomen, headache, hysteria, beriberi."
6581,JU HUA,Florists Chrysanthemum Flower,Chrysanthemum morifolium  [Syn.  Dendranthema morifolium],"Minor cold,Pungent,Sweet,Bitter","Lung,Liver",capitulum,"To course wind and clear heat, calm liver and brighten eyes, resolve toxin and disperse swelling.","Angina pectoris, hypertension, externally contracted wind-heat, wind warmth, fever and headache, dizziness, common cold, red eyes, red eyes with gall, swelling toxin of clove sore."
6632,CHUAN SHAN JIA,Pangolin,Manis pentadactyla,"Minor cold,Salty","Stomach,Liver",scale,"To quicken blood and dissipate stasis, free menstruation and milk, disperse welling abscess.","Amenorrhea due to blood stasis, concretion and conglomeration, wind-damp impediment pain, galactostasis, swollen welling abscess, scrofula."
6633,SHI WEI,"Japanese Felt Fern Frond Equivalent plant:  Pyrrosia sheareri, Pyrrosia davidii , Pyrrosia petiolosa",Pyrrosia lingua,"Minor cold,Sweet,Bitter","Lung,Bladder",leaf,"To disinhibit urine and free strangury, clear heat and stanch bleeding.","Heat strangury, blood strangury, stone strangury, urinary stoppage, dripping with inhibited pain, blood ejection, nosebleed(epistaxis), hematuria, flooding and spotting, lung heat cough asthma, urethral stone, urinary tract infection, bleeding."
6640,KU SHEN,Lightyellow Sophora,Sophora flavescens [Syn.  Sophora angustfolia],"Cold,Bitter","Bladder,Large Intestine,Stomach,Liver,Heart",dried root,"To clear heat and dry damp, dispel wind and kill worms.","Arrhythmia, otitis media, acute conjunctivitis, chronic conjunctivitis, trichomoniasis, septicemia, edema, damp-heat diarrhea, intestinal wind bleeding, acute jaundice, inhibited urination, vaginal discharge, pudendal itch, scab and lichen, leprosy, itchy skin, eczema, damp toxin sore, suppurative nest sore."
6650,MU MIAN HUA,Common Bombax Flower,Bombax malabaricum [Syn.  Gossampinus malabarica],"Cool,Sweet","Spleen,Large Intestine,Liver",flower,"To clear heat, disinhibit damp, resolve toxin, stanch bleeding.","Diarrhea, dysentery, hemoptysis, blood ejection, flooding, incised wound and bleeding, sore toxin, eczema."
6746,FANG FENG,Divaricate Saposhnikovia,Saposhnikovia divaricata  [Syn.  Ledebouriella seseloides],"Minor Warm,Pungent,Sweet","Bladder,Spleen,Liver",root,"To dispel wind and resolve exterior, overcome damp and relieve pain, resolve spasm, relieve itch.","Migraine, headache and generalized pain, common cold, rheumatoid arthritis, externally contracted wind-cold, wind-damp impediment pain, aching pain in joints, abdominal pain and diarrhea, intestinal wind bleeding, tetanus, wind papule itching, sores."
6762,FENG MI,Honey,Apis cerana,"Mild,Sweet","Lung,Spleen,Large Intestine",honey,"To supplement stomach and spleen, relax tension and relieve pain, moisten lung and relieve cough, moisten intestines and free stool, moisten skin and engender flesh, resolve toxin.","Pain in stomach duct and abdomen, lung heat dry cough, intestinal dry and constipation, red eyes, mouth sore, enduring sores, wind papule itching, burns and scalds, cracking of hands and feet."
6768,DA QING YE,Indigo-coloured Woad Leaf Equivalent plant: LU BIAN QING,Isatis indigotica,"Extreme Cold,Bitter","Lung,Stomach,Heart",leaf,"To clear heat and resolve toxin, cool blood and disperse macula.","Acute parotitis, encephalitis, hepatitis, lung abscess, acute gastroenteritis, infection of upper respiratory tract, warm evil in construction, ardent fever with clouded spirit, macular eruption and papules, jaundice, heat dysentery, epidemic parotitis, throat impediment, erysipelas, swollen welling abscess."
6769,FU LING,Indian Bread,Poria cocos,"Mild,Sweet,Neutral","Spleen,Heart,Kidney",sclerotium,"To disinhibit water and percolate damp,fortify spleen and quiet heart.","Neurasthenia, disquieted heart spirit, fright palpitation and insomnia, insomnia, pelvic inflammation, edema, scant urine with edema, phlegm-rheum dizziness, reduced food intake due to spleen vacuity, sloppy stool and diarrhea, chronic diarrhea."
6779,DI JIN CAO,Humifuse Euphorbia,Euphorbia humifusa,"Mild,Pungent,Bitter","Large Intestine,Stomach,Liver",whole herb,"To clear heat and resolve toxin, cool blood and stanch bleeding.","Dysentery, enteritis, hemoptysis, hematuria, hematochezia, flooding and spotting, swollen welling abscess, sore and boil."
6787,SAN LENG,Common Burreed,Sparganium stoloniferum,"Mild,Bitter","Spleen,Liver",tuber,"To break blood, move  qi  and relieve pain, disperse accumulation.","Concretion conglomeration accumulation and gathering, qi-blood stagnation, pain in heart and abdomen, distending pain in rib-side, amenorrhea, postpartum blood stasis abdominal pain, knocks and falls, swelling of sores."
6831,HE ZI,Medicine Terminalia Equivalent plant: Terminalia chebula var tomentella,Terminalia chebula,"Mild,Sour,Bitter,Punkery","Lung,Large Intestine",fruit,"To constrain lung and astringe intestines, downbear fire and disinhibit throat.","Chronic diarrhea and dysentery, hematochezia, prolapse of rectum, cough and asthma due to lung vacuity, incessant cough, aphonia due to throat pain."
6834,WU ZHU YU,Medicinal Evodia Equivalent plant: Evodia rutaecarpa  var  officinalis,Evodia rutaecarpa,"Pungent, bitter, hot","Liver, spleen,stomach",fruit,"To dispel cold, dry damp, soothe liver, precipitate  qi, relieve pain, check vomiting.","Dysentery, cold pain in stomach duct and abdomen, reverting yin headache, mounting  qi ,  dysmenorrhea, beriberi with edema, hyperchlorhydria, cold-damp diarrhea."
6853,LAI FU ZI,Garden Radish Seed,Raphanus sativus,"Mild,Pungent,Sweet","Lung,Spleen,Stomach",seed,"To disperse food distention, downbear qi  and transform phlegm.","Food stagnation, distending pain in stomach duct, constipation, accumulation and diarrhea, phlegm congestion cough asthma."
6882,GUANG HUO XIANG,Cablin Potchouli,Pogostemon cablin  [Syn.  Mentha cablin ],"Minor Warm,Pungent","Lung,Spleen,Stomach",aerial parts,"To transform damp aromaticly, increase appetite and check vomiting, effuse exterior and resolve summerheat.","Summerheat-damp lassitude, oppression in chest, vomiting diarrhea with abdominal pain, deep-source nasal congestion and headache."
6897,QUAN XIE,Scorpion,Buthus martensi,"Mild,Pungent",Liver,body,"To calm, dispel wind and check tetany, free network vessels and relieve pain, attack toxin and dissipate binds.","Infant fright wind, convulsion, spasm, wind stroke with deviated eyes and mouth, hemiplegia, tetanus, wind-damp impediment, migraine, headache, toothache, deafness, hypertension, swelling toxin of welling abscess and sore, scrofula with phlegm node, snake bite, burns, wind papules, intractable lichen."
6987,YU ZHU,Fragrant Solomonseal Equivalent plant:  Polygonatum prattii,Polygonatum odoratum  [Syn.  Polygonatum officinale],"Mild,Sweet","Lung,Stomach",rhizome,"To nourish  yin  and moisten dryness, engender liquid and allay thirst.","Lung stomach  yin  damage, dry cough, dry throat, diabetes mellitus due to internal heat."
6998,BAI LIAN,Japanese Ampelopsis,Ampelopsis japonica  [Syn.  Paullinia japonica],"Minor cold,Pungent,Bitter","Stomach,Heart",tuberoid,"To clear heat and resolve toxin, dissipate binds and relieve pain, close sores and engender flesh.","Swelling toxin of sore and welling abscess, burns and scalds, scrofula, damp sore, warm malaria, frightepilepsy, blood dysentery, intestinal wind, hemorrhoids and fistulas, leukorrhea, knocks and falls, bleeding due to external injury."
7013,HUANG BAI,"Amur Corktree Equivalent plant: Phellodendron chinense , Phellodendron chinense  var Glabriusculum,  Phellodendron amurense  var wilsonii",Phellodendron amurense,"Cold,Bitter","Bladder,Large Intestine,Kidney",bark,"To drain fire, dispel damp and resolve toxin.","Damp-heat dysentery, tuberculosis, epidemic meningitis, acute conjunctivitis, trachoma, fever, abdominal pain, diarrhea, suppurative hematochezia, tenesmus, jaundice, yellow thick foul leukorrhagia, swelling pain in knees and feet, urinary tract infection, boil, sore, ulcer, eczema, mouth sore, hemorrhoids, burns, scalds, exuberance of fire with tidal fever, tidal fever with night sweat, emission."
7036,CI WU JIA,Manypr ickle Acanthopana x,Acanthopanax senticosus  [Syn.  Eleutherococcus senticosus ],"Warm,Pungent,Bitter","Liver,Kidney",root and rhizome,"To boost qi  and fortify spleen, supplement kidney and quiet spirit, increase appetite.","Spleen-kidney  yang vacuity, vacuity and hypodynamia, inappetence, aching in lumbus and knees, insomnia and frequent dreaming."
7057,SHI LIU PI,Pomegranate Peel,Punica granatum,"Warm,Sour,Punkery","Large Intestine,Stomach",pericarp,"To astringe intestines and check diarrhea, stanch bleeding, expel worms.","Chronic diarrhea, chronic dysentery, hematochezia, prolapse of rectum, flooding and spotting, leukorrhea, abdominal pain due to worm accumulation."
7067,SI JI QING,Purpleflower Holly,Ilex chinensis [Syn.  Ilex purpurea ],"Cold,Bitter,Punkery","Lung,Heart",leaf,"To clear heat and resolve toxin, close sores and engender flesh, quicken blood and stanch bleeding.","Angina pectoris, coronary heart disease, thrombophlebitis, thromboangiitis obliterans (Buerger’s disease), lung heat cough, swelling pain in throat, dysentery, diarrhea, infection of biliary tract , urinary tract infection, burns and scalds, heat toxin swollen welling abscess, ulcer of lower limb, eczema, frostbite, cracking, wound, bleeding due to external injury."
7101,XIA KU CAO,Common Selfheal,Prunella vulgaris,"Cold,Pungent,Bitter","Liver,Gallbladder",spike,"To clear fire, brighten eyes, dissipate binds, disperse swelling.","Red eyes with gall, eyeball night pain, headache and dizziness, scrofula, goiter and tuberculosis, mammary welling abscess, thyroid enlargement, scrofula, hyperplasia of mammary glands, hypertension."
8108,LING ZHI,Lucid Ganoderma Equivalent plant: Ganoderma japonicum,Ganoderma lucidum,"Mild,Sweet","Lung,Spleen,Liver,Heart,Kidney",dried sporocarp,"To boost qi- blood, quiet heart and spirit, fortify spleen and stomach, lower cholesterol.","Hyperlipemia, coronary heart disease, angina pectoris, septicemia, carcinoma, hepatitis, vacuity taxation, palpitation, insomnia, dizziness, fatigue hypodynamia, enduring cough and asthma, chronic bronchitis, silicosis."
8112,YUAN ZHI,Thinleaf Milkwort Equivalent plant: Polygala sibirica,Polygala tenuifolia,"Minor Warm,Pungent,Bitter","Lung,Heart",root,"To quiet heart and spirit, dispel phlegm and open orifices, resolve toxin and disperse swelling.","Pharyngitis, disquieted heart spirit, fright palpitation and insomnia, amnesia, fright epilepsy, cough with profuse phlegm, effusion of back from welling abscess and flat abscess, painful swollen breast."
8152,YE JU HUA,Indian Wild Chrysanthemum Flower,Chrysanthemum indicum,"Minor cold,Pungent,Bitter","Lung,Liver",flower-head,"To lower blood pressure, clear heat and resolve toxin.","Hypertension, headache and dizziness, insomnia, common cold, influenza, meningitis, swollen welling abscess and clove sores, red eyes with gall."
8178,DA ZAO,Chinese Date Equivalent plant:  Ziziphus jujuba var inermis,Ziziphus jujuba,"Warm,Sweet","Spleen,Stomach",ripe fruit,"To supplement center and boost  qi ,  nourish blood and quiet spirit.","Reduced food intake due to spleen vacuity, lack of strength and sloppy stool, visceral agitation."
8200,HU LU BA,Common Fenugreek,Trigonella foenum -graecum,"Warm,Bitter","Liver,Kidney",seed,"To lower cholesterol, warm kidney, dispel cold, relieve pain.","Hyperlipemia, kidney vacuity cold, cold pain in lesser-abdomen, mounting qi , beriberi."
